method,seed,condition_id,geometry_variable,geometry_value,sample_count,error_count,error_rate,harmful_flip_count,harmful_flip_rate
mobilenet_v3_small,29,jpeg_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,clean,occupancy_bin,0.25_to_lt_0.50,73,5,0.0684931506849315,0,not_applicable
mobilenet_v3_small,43,clean,occupancy_bin,lt_0.10,24,3,0.125,0,not_applicable
mobilenet_v3_small,43,clean,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,0,not_applicable
mobilenet_v3_small,43,clean,occupancy_bin,ge_0.50,2,0,0,0,not_applicable
mobilenet_v3_small,43,gaussian_blur_mild,occupancy_bin,0.25_to_lt_0.50,73,9,0.1232876712328767,4,0.0547945205479452
mobilenet_v3_small,43,gaussian_blur_mild,occupancy_bin,lt_0.10,24,2,0.08333333333333333,0,0
mobilenet_v3_small,43,gaussian_blur_mild,occupancy_bin,0.10_to_lt_0.25,63,8,0.12698412698412698,0,0
mobilenet_v3_small,43,gaussian_blur_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,43,gaussian_blur_moderate,occupancy_bin,0.25_to_lt_0.50,73,9,0.1232876712328767,6,0.0821917808219178
mobilenet_v3_small,43,gaussian_blur_moderate,occupancy_bin,lt_0.10,24,1,0.041666666666666664,0,0
mobilenet_v3_small,43,gaussian_blur_moderate,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,3,0.047619047619047616
mobilenet_v3_small,43,gaussian_blur_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,gaussian_blur_severe,occupancy_bin,0.25_to_lt_0.50,73,30,0.410958904109589,26,0.3561643835616438
mobilenet_v3_small,43,gaussian_blur_severe,occupancy_bin,lt_0.10,24,5,0.20833333333333334,5,0.20833333333333334
mobilenet_v3_small,43,gaussian_blur_severe,occupancy_bin,0.10_to_lt_0.25,63,17,0.2698412698412698,9,0.14285714285714285
mobilenet_v3_small,43,gaussian_blur_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,resolution_mild,occupancy_bin,0.25_to_lt_0.50,73,7,0.0958904109589041,4,0.0547945205479452
mobilenet_v3_small,43,resolution_mild,occupancy_bin,lt_0.10,24,2,0.08333333333333333,0,0
mobilenet_v3_small,43,resolution_mild,occupancy_bin,0.10_to_lt_0.25,63,9,0.14285714285714285,1,0.015873015873015872
mobilenet_v3_small,43,resolution_mild,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,resolution_moderate,occupancy_bin,0.25_to_lt_0.50,73,9,0.1232876712328767,6,0.0821917808219178
mobilenet_v3_small,43,resolution_moderate,occupancy_bin,lt_0.10,24,1,0.041666666666666664,0,0
mobilenet_v3_small,43,resolution_moderate,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,3,0.047619047619047616
mobilenet_v3_small,43,resolution_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,resolution_severe,occupancy_bin,0.25_to_lt_0.50,73,18,0.2465753424657534,15,0.2054794520547945
mobilenet_v3_small,43,resolution_severe,occupancy_bin,lt_0.10,24,6,0.25,4,0.16666666666666666
mobilenet_v3_small,43,resolution_severe,occupancy_bin,0.10_to_lt_0.25,63,16,0.25396825396825395,7,0.1111111111111111
mobilenet_v3_small,43,resolution_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,brightness_mild,occupancy_bin,0.25_to_lt_0.50,73,8,0.1095890410958904,3,0.0410958904109589
mobilenet_v3_small,43,brightness_mild,occupancy_bin,lt_0.10,24,5,0.20833333333333334,2,0.08333333333333333
mobilenet_v3_small,43,brightness_mild,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,1,0.015873015873015872
mobilenet_v3_small,43,brightness_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,43,brightness_moderate,occupancy_bin,0.25_to_lt_0.50,73,10,0.136986301369863,6,0.0821917808219178
mobilenet_v3_small,43,brightness_moderate,occupancy_bin,lt_0.10,24,4,0.16666666666666666,1,0.041666666666666664
