method,seed,condition_id,true_label,support,dominant_incorrect_destination,dominant_incorrect_count
lbp,not_applicable,jpeg_mild,thunderstrike,9,surface_injure,3
lbp,not_applicable,jpeg_mild,crack,14,hide_craze,6
lbp,not_applicable,jpeg_mild,hide_craze,49,surface_injure,9
lbp,not_applicable,jpeg_moderate,craze,27,surface_injure,11
lbp,not_applicable,jpeg_moderate,corrosion,30,hide_craze,11
lbp,not_applicable,jpeg_moderate,surface_injure,33,hide_craze,7
lbp,not_applicable,jpeg_moderate,thunderstrike,9,corrosion|surface_injure,3
lbp,not_applicable,jpeg_moderate,crack,14,hide_craze,7
lbp,not_applicable,jpeg_moderate,hide_craze,49,surface_injure,11
lbp,not_applicable,jpeg_severe,craze,27,surface_injure,17
lbp,not_applicable,jpeg_severe,corrosion,30,surface_injure|hide_craze,12
lbp,not_applicable,jpeg_severe,surface_injure,33,hide_craze,8
lbp,not_applicable,jpeg_severe,thunderstrike,9,corrosion|surface_injure|hide_craze,3
lbp,not_applicable,jpeg_severe,crack,14,hide_craze,7
lbp,not_applicable,jpeg_severe,hide_craze,49,surface_injure,11
resnet18,17,clean,craze,27,corrosion|hide_craze,1
resnet18,17,clean,corrosion,30,surface_injure,4
resnet18,17,clean,surface_injure,33,crack|hide_craze,2
resnet18,17,clean,thunderstrike,9,none,0
resnet18,17,clean,crack,14,none,0
resnet18,17,clean,hide_craze,49,craze|surface_injure|crack,1
resnet18,17,gaussian_blur_mild,craze,27,surface_injure,3
resnet18,17,gaussian_blur_mild,corrosion,30,surface_injure,4
resnet18,17,gaussian_blur_mild,surface_injure,33,crack|hide_craze,2
resnet18,17,gaussian_blur_mild,thunderstrike,9,none,0
resnet18,17,gaussian_blur_mild,crack,14,none,0
resnet18,17,gaussian_blur_mild,hide_craze,49,surface_injure,2
resnet18,17,gaussian_blur_moderate,craze,27,surface_injure,6
resnet18,17,gaussian_blur_moderate,corrosion,30,surface_injure,6
resnet18,17,gaussian_blur_moderate,surface_injure,33,crack,2
resnet18,17,gaussian_blur_moderate,thunderstrike,9,surface_injure,2
resnet18,17,gaussian_blur_moderate,crack,14,none,0
resnet18,17,gaussian_blur_moderate,hide_craze,49,surface_injure,4
resnet18,17,gaussian_blur_severe,craze,27,hide_craze,8
resnet18,17,gaussian_blur_severe,corrosion,30,surface_injure,14
resnet18,17,gaussian_blur_severe,surface_injure,33,corrosion,2
resnet18,17,gaussian_blur_severe,thunderstrike,9,surface_injure,4
resnet18,17,gaussian_blur_severe,crack,14,hide_craze,1
resnet18,17,gaussian_blur_severe,hide_craze,49,surface_injure,6
resnet18,17,resolution_mild,craze,27,surface_injure,4
resnet18,17,resolution_mild,corrosion,30,surface_injure,4
resnet18,17,resolution_mild,surface_injure,33,crack,2
resnet18,17,resolution_mild,thunderstrike,9,surface_injure,1
resnet18,17,resolution_mild,crack,14,none,0
resnet18,17,resolution_mild,hide_craze,49,surface_injure,3
resnet18,17,resolution_moderate,craze,27,surface_injure,6
resnet18,17,resolution_moderate,corrosion,30,surface_injure,6
resnet18,17,resolution_moderate,surface_injure,33,crack,2
resnet18,17,resolution_moderate,thunderstrike,9,surface_injure,1
resnet18,17,resolution_moderate,crack,14,none,0
resnet18,17,resolution_moderate,hide_craze,49,surface_injure,4
resnet18,17,resolution_severe,craze,27,hide_craze,7
resnet18,17,resolution_severe,corrosion,30,surface_injure,11
resnet18,17,resolution_severe,surface_injure,33,crack,2
resnet18,17,resolution_severe,thunderstrike,9,surface_injure,2
resnet18,17,resolution_severe,crack,14,none,0
resnet18,17,resolution_severe,hide_craze,49,surface_injure,5
resnet18,17,brightness_mild,craze,27,surface_injure,2
resnet18,17,brightness_mild,corrosion,30,surface_injure,3
resnet18,17,brightness_mild,surface_injure,33,craze|corrosion|thunderstrike|crack|hide_craze,1
resnet18,17,brightness_mild,thunderstrike,9,none,0
resnet18,17,brightness_mild,crack,14,craze|surface_injure,1
resnet18,17,brightness_mild,hide_craze,49,craze,2
resnet18,17,brightness_moderate,craze,27,hide_craze,2
resnet18,17,brightness_moderate,corrosion,30,surface_injure,3
resnet18,17,brightness_moderate,surface_injure,33,craze,3
resnet18,17,brightness_moderate,thunderstrike,9,none,0
resnet18,17,brightness_moderate,crack,14,surface_injure,2
resnet18,17,brightness_moderate,hide_craze,49,craze,4
resnet18,17,brightness_severe,craze,27,corrosion,2
resnet18,17,brightness_severe,corrosion,30,surface_injure,3
resnet18,17,brightness_severe,surface_injure,33,craze,8
resnet18,17,brightness_severe,thunderstrike,9,craze,5
resnet18,17,brightness_severe,crack,14,craze,6
resnet18,17,brightness_severe,hide_craze,49,corrosion,11
