sample_id,sheet,tile_row,tile_column,xml_named_image,embedded_filename_image,recommended_identity_status,recommendation_confidence,review_required
881,identity_review_020.jpg,1,2,881.jpg,370.jpg,xml_name_correct,high,True
882,identity_review_020.jpg,2,1,882.jpg,373.jpg,xml_name_correct,high,True
884,identity_review_020.jpg,2,2,884.jpg,379.jpg,ambiguous,low,True
887,identity_review_020.jpg,3,1,887.jpg,384.jpg,ambiguous,low,True
888,identity_review_020.jpg,3,2,888.jpg,387.jpg,xml_name_correct,high,True
889,identity_review_021.jpg,1,1,889.jpg,388.jpg,xml_name_correct,high,True
890,identity_review_021.jpg,1,2,890.jpg,389.jpg,xml_name_correct,high,True
891,identity_review_021.jpg,2,1,891.jpg,39.jpg,ambiguous,low,True
892,identity_review_021.jpg,2,2,892.jpg,391.jpg,xml_name_correct,high,True
896,identity_review_021.jpg,3,1,896.jpg,40.jpg,ambiguous,low,True
897,identity_review_021.jpg,3,2,897.jpg,400.jpg,ambiguous,low,True
899,identity_review_022.jpg,1,1,899.jpg,405.jpg,ambiguous,low,True
900,identity_review_022.jpg,1,2,900.jpg,406.jpg,ambiguous,low,True
901,identity_review_022.jpg,2,1,901.jpg,407.jpg,ambiguous,low,True
902,identity_review_022.jpg,2,2,902.jpg,411.jpg,ambiguous,low,True
903,identity_review_022.jpg,3,1,903.jpg,418.jpg,ambiguous,low,True
904,identity_review_022.jpg,3,2,904.jpg,426.jpg,xml_name_correct,high,True
905,identity_review_023.jpg,1,1,905.jpg,427.jpg,ambiguous,low,True
906,identity_review_023.jpg,1,2,906.jpg,431.jpg,xml_name_correct,high,True
907,identity_review_023.jpg,2,1,907.jpg,432.jpg,ambiguous,low,True
908,identity_review_023.jpg,2,2,908.jpg,435.jpg,xml_name_correct,high,True
909,identity_review_023.jpg,3,1,909.jpg,436.jpg,xml_name_correct,high,True
910,identity_review_023.jpg,3,2,910.jpg,439.jpg,xml_name_correct,high,True
911,identity_review_024.jpg,1,1,911.jpg,440.jpg,xml_name_correct,high,True
912,identity_review_024.jpg,1,2,912.jpg,444.jpg,ambiguous,low,True
913,identity_review_024.jpg,2,1,913.jpg,447.jpg,ambiguous,low,True
914,identity_review_024.jpg,2,2,914.jpg,45.jpg,xml_name_correct,high,True
915,identity_review_024.jpg,3,1,915.jpg,451.jpg,ambiguous,low,True
916,identity_review_024.jpg,3,2,916.jpg,452.jpg,ambiguous,low,True
917,identity_review_025.jpg,1,1,917.jpg,456.jpg,xml_name_correct,high,True
918,identity_review_025.jpg,1,2,918.jpg,457.jpg,xml_name_correct,high,True
919,identity_review_025.jpg,2,1,919.jpg,459.jpg,ambiguous,low,True
921,identity_review_025.jpg,2,2,921.jpg,460.jpg,xml_name_correct,high,True
922,identity_review_025.jpg,3,1,922.jpg,461.jpg,xml_name_correct,high,True
924,identity_review_025.jpg,3,2,924.jpg,466.jpg,xml_name_correct,high,True
925,identity_review_026.jpg,1,1,925.jpg,476.jpg,xml_name_correct,high,True
926,identity_review_026.jpg,1,2,926.jpg,477.jpg,xml_name_correct,high,True
927,identity_review_026.jpg,2,1,927.jpg,479.jpg,xml_name_correct,high,True
928,identity_review_026.jpg,2,2,928.jpg,482.jpg,ambiguous,low,True
929,identity_review_026.jpg,3,1,929.jpg,485.jpg,ambiguous,low,True
930,identity_review_026.jpg,3,2,930.jpg,49.jpg,ambiguous,low,True
931,identity_review_027.jpg,1,1,931.jpg,490.jpg,xml_name_correct,high,True
933,identity_review_027.jpg,1,2,933.jpg,492.jpg,xml_name_correct,high,True
934,identity_review_027.jpg,2,1,934.jpg,499.jpg,xml_name_correct,high,True
935,identity_review_027.jpg,2,2,935.jpg,5.jpg,ambiguous,low,True
936,identity_review_027.jpg,3,1,936.jpg,504.jpg,xml_name_correct,high,True
937,identity_review_027.jpg,3,2,937.jpg,505.jpg,ambiguous,low,True
938,identity_review_028.jpg,1,1,938.jpg,509.jpg,ambiguous,low,True
939,identity_review_028.jpg,1,2,939.jpg,513.jpg,ambiguous,low,True
940,identity_review_028.jpg,2,1,940.jpg,514.jpg,xml_name_correct,high,True
941,identity_review_028.jpg,2,2,941.jpg,515.jpg,ambiguous,low,True
942,identity_review_028.jpg,3,1,942.jpg,516.jpg,xml_name_correct,high,True
943,identity_review_028.jpg,3,2,943.jpg,52.jpg,ambiguous,low,True
944,identity_review_029.jpg,1,1,944.jpg,522.jpg,xml_name_correct,high,True
946,identity_review_029.jpg,1,2,946.jpg,528.jpg,ambiguous,low,True
947,identity_review_029.jpg,2,1,947.jpg,529.jpg,xml_name_correct,high,True
948,identity_review_029.jpg,2,2,948.jpg,531.jpg,xml_name_correct,high,True
949,identity_review_029.jpg,3,1,949.jpg,532.jpg,xml_name_correct,high,True
950,identity_review_029.jpg,3,2,950.jpg,535.jpg,xml_name_correct,high,True
951,identity_review_030.jpg,1,1,951.jpg,540.jpg,ambiguous,low,True
952,identity_review_030.jpg,1,2,952.jpg,543.jpg,ambiguous,low,True
953,identity_review_030.jpg,2,1,953.jpg,544.jpg,xml_name_correct,high,True
954,identity_review_030.jpg,2,2,954.jpg,547.jpg,ambiguous,low,True
957,identity_review_030.jpg,3,1,957.jpg,554.jpg,xml_name_correct,high,True
958,identity_review_030.jpg,3,2,958.jpg,557.jpg,xml_name_correct,high,True
959,identity_review_031.jpg,1,1,959.jpg,561.jpg,ambiguous,low,True
960,identity_review_031.jpg,1,2,960.jpg,562.jpg,ambiguous,low,True
961,identity_review_031.jpg,2,1,961.jpg,565.jpg,ambiguous,low,True
962,identity_review_031.jpg,2,2,962.jpg,566.jpg,xml_name_correct,high,True
964,identity_review_031.jpg,3,1,964.jpg,570.jpg,ambiguous,low,True
966,identity_review_031.jpg,3,2,966.jpg,576.jpg,ambiguous,low,True
967,identity_review_032.jpg,1,1,967.jpg,577.jpg,xml_name_correct,high,True
970,identity_review_032.jpg,1,2,970.jpg,580.jpg,xml_name_correct,high,True
971,identity_review_032.jpg,2,1,971.jpg,581.jpg,xml_name_correct,high,True
972,identity_review_032.jpg,2,2,972.jpg,588.jpg,xml_name_correct,high,True
