method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
lbp,1.0,corrosion,126,0.5263157894736842,,0.5555555555555556,,0.5,
lbp,1.0,surface_injure,185,0.47058823529411764,,0.45714285714285713,,0.48484848484848486,
lbp,1.0,thunderstrike,42,0.5,,1.0,,0.3333333333333333,
lbp,1.0,crack,93,0.6666666666666666,,0.6923076923076923,,0.6428571428571429,
lbp,1.0,hide_craze,188,0.7128712871287128,,0.6923076923076923,,0.7346938775510204,
resnet18,0.25,craze,39,0.7331520331520331,0.043483335888235504,0.7387830687830688,0.05289700897414727,0.7283950617283951,0.042766686606638946
resnet18,0.25,corrosion,40,0.730187908496732,0.06629078875611204,0.7925734396322631,0.16787831903670827,0.6888888888888888,0.01924500897298752
resnet18,0.25,surface_injure,66,0.7516239628915686,0.018471741485735965,0.7081838118022329,0.06451162442300436,0.8080808080808081,0.0630807878626101
resnet18,0.25,thunderstrike,12,0.69281045751634,0.022641187027044193,0.7777777777777778,0.048112522432468836,0.6296296296296297,0.06415002990995838
resnet18,0.25,crack,28,0.7436302681992336,0.16838788278950104,0.6893518518518519,0.1424564946945503,0.8095238095238096,0.20619652471058067
resnet18,0.25,hide_craze,67,0.7991309934401839,0.043041136212117304,0.8272400114505377,0.048691089376443966,0.7823129251700681,0.11239939892420618
resnet18,0.5,craze,70,0.8466274000865196,0.02807296821672906,0.842338802108917,0.037165295441392396,0.8518518518518517,0.037037037037037035
resnet18,0.5,corrosion,72,0.7879815100154083,0.037675785540389646,0.7504926108374385,0.007893310521656158,0.8333333333333334,0.08819171036881973
resnet18,0.5,surface_injure,111,0.8226162296442224,0.06934488986215148,0.7928240740740741,0.09920676256527641,0.8585858585858586,0.0630807878626101
resnet18,0.5,thunderstrike,22,0.8961816305469558,0.08335325190801902,0.9666666666666667,0.05773502691896256,0.8518518518518517,0.1697250257391052
resnet18,0.5,crack,51,0.9135124135124135,0.02150083420059051,0.9505494505494506,0.042913459757728846,0.8809523809523809,0.04123930494211617
resnet18,0.5,hide_craze,114,0.8639890995851274,0.006321515220062384,0.9184149184149185,0.07734573437313315,0.8231292517006802,0.07167111396498464
resnet18,0.75,craze,98,0.8757958927450452,0.016587289169384345,0.8429916985951468,0.04045753906599318,0.9135802469135802,0.042766686606638946
resnet18,0.75,corrosion,100,0.7954518733166559,0.01039581887251402,0.8463629594999394,0.06958751117065523,0.7555555555555555,0.050917507721731606
