method,condition_id,corruption_family,severity,parameter,replicate_count,standard_deviation,macro_f1,macro_f1_sample_sd,balanced_accuracy,balanced_accuracy_sample_sd,accuracy,accuracy_sample_sd,macro_precision,macro_recall,absolute_drop,retention_percent,relative_loss_percent,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,method_name,condition_design,inference
mobilenet_v3_small,gaussian_blur_severe,gaussian_blur,severe,3.0,3,sample (ddof=1),0.6543449631523638,0.04187119572649648,0.6570710888171205,0.032862944150683346,0.691358024691358,0.0163317982164481,0.7790084996731338,0.6570710888171205,-0.24097575910259103,73.07516280849052,26.924837191509468,0.2757201646090535,36.0,5.0,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,resolution_mild,resolution,mild,168,3,sample (ddof=1),0.8790194970735902,0.019438169312154432,0.8841025523565206,0.01378763249942462,0.8662551440329218,0.023369993192593756,0.8817251836966498,0.8841025523565206,-0.016301225181364638,98.18058826124103,1.8194117387589763,0.06172839506172839,5.666666666666667,3.0,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,resolution_moderate,resolution,moderate,112,3,sample (ddof=1),0.8615767100276867,0.013832448877128051,0.8614096368064622,0.008372700389257371,0.8497942386831275,0.01553463875570109,0.8809640225042701,0.8614096368064622,-0.03374401222726823,96.2332205566138,3.7667794433861927,0.09876543209876543,9.666666666666666,4.333333333333333,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,resolution_severe,resolution,severe,56,3,sample (ddof=1),0.733371848857737,0.016644992377922448,0.7187914672041655,0.018136650405371692,0.7530864197530865,0.006172839506172867,0.8368144367311531,0.7187914672041655,-0.16194887339721786,81.90998438467004,18.090015615329964,0.2222222222222222,26.666666666666668,5.666666666666667,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,brightness_mild,brightness,mild,0.75,3,sample (ddof=1),0.878432553300217,0.01655701426443471,0.8834612183818534,0.013067652993803221,0.8683127572016461,0.01553463875570114,0.8781747172112815,0.8834612183818534,-0.016888168954737808,98.11264968591257,1.8873503140874288,0.047325102880658436,4.0,1.6666666666666667,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,brightness_moderate,brightness,moderate,0.5,3,sample (ddof=1),0.8581444876205699,0.005570570345760488,0.852420272261542,0.008403490573376636,0.8436213991769547,0.007127781101106523,0.8698594830316343,0.852420272261542,-0.03717623463438491,95.84782342519799,4.15217657480201,0.10082304526748971,10.333333333333334,4.0,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,brightness_severe,brightness,severe,0.25,3,sample (ddof=1),0.6590879971600262,0.048045142200881026,0.6226841353825481,0.04467806206972813,0.7037037037037037,0.01633179821644806,0.7960514397329813,0.6226841353825481,-0.23623272509492857,73.5988016769793,26.40119832302069,0.3148148148148148,37.666666666666664,8.666666666666666,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,jpeg_mild,jpeg,mild,75,3,sample (ddof=1),0.8724861467454175,0.006568622187647713,0.8821014376569932,0.015372378302120458,0.8559670781893004,0.0035638905505532615,0.8663029620367787,0.8821014376569932,-0.022834575509537342,97.4492386087955,2.550761391204507,0.06584362139917695,6.666666666666667,2.3333333333333335,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,jpeg_moderate,jpeg,moderate,50,3,sample (ddof=1),0.8563406276180737,0.011472838918196266,0.8628534017422907,0.015032816775788988,0.839506172839506,0.012345679012345678,0.85489437501696,0.8628534017422907,-0.0389800946368812,95.64353502662776,4.356464973372243,0.0925925925925926,10.0,3.0,MobileNetV3-Small,fixed synthetic grid point,descriptive only
mobilenet_v3_small,jpeg_severe,jpeg,severe,25,3,sample (ddof=1),0.803678227039661,0.030335066765890737,0.7919485863930308,0.02556321061489533,0.8004115226337448,0.025699580240322633,0.8260971563909975,0.7919485863930308,-0.09164249521529393,89.76235126315935,10.237648736840658,0.14609053497942384,17.0,3.6666666666666665,MobileNetV3-Small,fixed synthetic grid point,descriptive only
