method,condition_id,corruption_family,severity,class,support,f1_mean,f1_sample_sd,clean_f1_mean,class_f1_drop
lbp,resolution_moderate,resolution,moderate,crack,14,0.5,,0.6666666666666666,-0.16666666666666663
lbp,resolution_moderate,resolution,moderate,hide_craze,49,0.5370370370370371,,0.7128712871287128,-0.17583425009167575
lbp,resolution_severe,resolution,severe,craze,27,0.0,,0.6779661016949152,-0.6779661016949152
lbp,resolution_severe,resolution,severe,corrosion,30,0.0,,0.5263157894736842,-0.5263157894736842
lbp,resolution_severe,resolution,severe,surface_injure,33,0.33548387096774196,,0.47058823529411764,-0.13510436432637568
lbp,resolution_severe,resolution,severe,thunderstrike,9,0.0,,0.5,-0.5
lbp,resolution_severe,resolution,severe,crack,14,0.25,,0.6666666666666666,-0.41666666666666663
lbp,resolution_severe,resolution,severe,hide_craze,49,0.46511627906976744,,0.7128712871287128,-0.2477550080589454
lbp,brightness_mild,brightness,mild,craze,27,0.6666666666666666,,0.6779661016949152,-0.011299435028248594
lbp,brightness_mild,brightness,mild,corrosion,30,0.4897959183673469,,0.5263157894736842,-0.036519871106337254
lbp,brightness_mild,brightness,mild,surface_injure,33,0.417910447761194,,0.47058823529411764,-0.052677787532923626
lbp,brightness_mild,brightness,mild,thunderstrike,9,0.5,,0.5,0.0
lbp,brightness_mild,brightness,mild,crack,14,0.6206896551724138,,0.6666666666666666,-0.04597701149425282
lbp,brightness_mild,brightness,mild,hide_craze,49,0.6727272727272727,,0.7128712871287128,-0.04014401440144011
lbp,brightness_moderate,brightness,moderate,craze,27,0.6428571428571429,,0.6779661016949152,-0.03510895883777232
lbp,brightness_moderate,brightness,moderate,corrosion,30,0.3,,0.5263157894736842,-0.2263157894736842
lbp,brightness_moderate,brightness,moderate,surface_injure,33,0.44776119402985076,,0.47058823529411764,-0.02282704126426688
lbp,brightness_moderate,brightness,moderate,thunderstrike,9,0.2,,0.5,-0.3
lbp,brightness_moderate,brightness,moderate,crack,14,0.43478260869565216,,0.6666666666666666,-0.23188405797101447
lbp,brightness_moderate,brightness,moderate,hide_craze,49,0.640625,,0.7128712871287128,-0.07224628712871284
lbp,brightness_severe,brightness,severe,craze,27,0.5,,0.6779661016949152,-0.17796610169491522
lbp,brightness_severe,brightness,severe,corrosion,30,0.125,,0.5263157894736842,-0.4013157894736842
lbp,brightness_severe,brightness,severe,surface_injure,33,0.3157894736842105,,0.47058823529411764,-0.15479876160990713
lbp,brightness_severe,brightness,severe,thunderstrike,9,0.0,,0.5,-0.5
lbp,brightness_severe,brightness,severe,crack,14,0.125,,0.6666666666666666,-0.5416666666666666
lbp,brightness_severe,brightness,severe,hide_craze,49,0.5064935064935064,,0.7128712871287128,-0.2063777806352064
lbp,jpeg_mild,jpeg,mild,craze,27,0.6,,0.6779661016949152,-0.07796610169491525
lbp,jpeg_mild,jpeg,mild,corrosion,30,0.42105263157894735,,0.5263157894736842,-0.10526315789473684
lbp,jpeg_mild,jpeg,mild,surface_injure,33,0.4533333333333333,,0.47058823529411764,-0.01725490196078433
lbp,jpeg_mild,jpeg,mild,thunderstrike,9,0.5,,0.5,0.0
lbp,jpeg_mild,jpeg,mild,crack,14,0.4444444444444444,,0.6666666666666666,-0.2222222222222222
lbp,jpeg_mild,jpeg,mild,hide_craze,49,0.6548672566371682,,0.7128712871287128,-0.05800403049154468
lbp,jpeg_moderate,jpeg,moderate,craze,27,0.25,,0.6779661016949152,-0.4279661016949152
lbp,jpeg_moderate,jpeg,moderate,corrosion,30,0.37037037037037035,,0.5263157894736842,-0.15594541910331383
lbp,jpeg_moderate,jpeg,moderate,surface_injure,33,0.5393258426966292,,0.47058823529411764,0.06873760740251156
lbp,jpeg_moderate,jpeg,moderate,thunderstrike,9,0.18181818181818182,,0.5,-0.3181818181818182
lbp,jpeg_moderate,jpeg,moderate,crack,14,0.4,,0.6666666666666666,-0.2666666666666666
lbp,jpeg_moderate,jpeg,moderate,hide_craze,49,0.5663716814159292,,0.7128712871287128,-0.14649960571278364
lbp,jpeg_severe,jpeg,severe,craze,27,0.0,,0.6779661016949152,-0.6779661016949152
lbp,jpeg_severe,jpeg,severe,corrosion,30,0.17777777777777778,,0.5263157894736842,-0.34853801169590637
lbp,jpeg_severe,jpeg,severe,surface_injure,33,0.4380952380952381,,0.47058823529411764,-0.03249299719887955
lbp,jpeg_severe,jpeg,severe,thunderstrike,9,0.0,,0.5,-0.5
lbp,jpeg_severe,jpeg,severe,crack,14,0.1111111111111111,,0.6666666666666666,-0.5555555555555556
lbp,jpeg_severe,jpeg,severe,hide_craze,49,0.5833333333333334,,0.7128712871287128,-0.12953795379537947
resnet18,clean,clean,clean,craze,27,0.9285106124186583,0.0025548213600066713,0.9285106124186583,0.0
resnet18,clean,clean,clean,corrosion,30,0.8475347187806301,0.032035744304593224,0.8475347187806301,0.0
resnet18,clean,clean,clean,surface_injure,33,0.8454458330888537,0.047498766168946376,0.8454458330888537,0.0
resnet18,clean,clean,clean,thunderstrike,9,0.9473684210526315,0.09116056881941462,0.9473684210526315,0.0
resnet18,clean,clean,clean,crack,14,0.8987764182424917,0.0038532832203979238,0.8987764182424917,0.0
resnet18,clean,clean,clean,hide_craze,49,0.9042505253031567,0.040823585584824906,0.9042505253031567,0.0
resnet18,gaussian_blur_mild,gaussian_blur,mild,craze,27,0.9153312096708323,0.05040309957489698,0.9285106124186583,-0.01317940274782603
resnet18,gaussian_blur_mild,gaussian_blur,mild,corrosion,30,0.8533529363718042,0.02152105035644487,0.8475347187806301,0.0058182175911740686
resnet18,gaussian_blur_mild,gaussian_blur,mild,surface_injure,33,0.857597007947639,0.052643331081553314,0.8454458330888537,0.012151174858785363
resnet18,gaussian_blur_mild,gaussian_blur,mild,thunderstrike,9,0.9298245614035087,0.08039606482378668,0.9473684210526315,-0.01754385964912286
resnet18,gaussian_blur_mild,gaussian_blur,mild,crack,14,0.8888147324187369,0.019468909987489492,0.8987764182424917,-0.009961685823754785
resnet18,gaussian_blur_mild,gaussian_blur,mild,hide_craze,49,0.9015838788345527,0.016897902488678788,0.9042505253031567,-0.002666646468604039
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,craze,27,0.8023276959447173,0.034006790728518276,0.9285106124186583,-0.12618291647394098
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,corrosion,30,0.7496381531335938,0.026054858932177866,0.8475347187806301,-0.0978965656470363
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,surface_injure,33,0.784237406420505,0.05139140574525899,0.8454458330888537,-0.06120842666834869
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,thunderstrike,9,0.8425925925925926,0.056131276171213614,0.9473684210526315,-0.10477582846003897
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,crack,14,0.8844086021505376,0.01629617695293297,0.8987764182424917,-0.014367816091954033
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,hide_craze,49,0.8689429571864012,0.025697889348740417,0.9042505253031567,-0.035307568116755506
resnet18,gaussian_blur_severe,gaussian_blur,severe,craze,27,0.5934254240251792,0.14406824324363138,0.9285106124186583,-0.3350851883934791
resnet18,gaussian_blur_severe,gaussian_blur,severe,corrosion,30,0.4076858813700919,0.023151890493819577,0.8475347187806301,-0.43984883741053826
resnet18,gaussian_blur_severe,gaussian_blur,severe,surface_injure,33,0.664167202201905,0.05104421786364842,0.8454458330888537,-0.18127863088694873
resnet18,gaussian_blur_severe,gaussian_blur,severe,thunderstrike,9,0.4783549783549783,0.10557357920569002,0.9473684210526315,-0.4690134426976532
resnet18,gaussian_blur_severe,gaussian_blur,severe,crack,14,0.8761510890543148,0.04297585061382275,0.8987764182424917,-0.022625329188176835
resnet18,gaussian_blur_severe,gaussian_blur,severe,hide_craze,49,0.782941798941799,0.03382079450464618,0.9042505253031567,-0.1213087263613577
resnet18,resolution_mild,resolution,mild,craze,27,0.9073947017343243,0.06414728276698495,0.9285106124186583,-0.02111591068433394
resnet18,resolution_mild,resolution,mild,corrosion,30,0.8338831409006847,0.023199543226194407,0.8475347187806301,-0.01365157787994542
resnet18,resolution_mild,resolution,mild,surface_injure,33,0.8432718432718432,0.05390801933985509,0.8454458330888537,-0.0021739898170104466
resnet18,resolution_mild,resolution,mild,thunderstrike,9,0.8845315904139434,0.05894444121337118,0.9473684210526315,-0.06283683063868817
resnet18,resolution_mild,resolution,mild,crack,14,0.8888147324187369,0.019468909987489492,0.8987764182424917,-0.009961685823754785
resnet18,resolution_mild,resolution,mild,hide_craze,49,0.9014430014430014,0.007038238613712632,0.9042505253031567,-0.00280752386015537
resnet18,resolution_moderate,resolution,moderate,craze,27,0.8590030467377151,0.08065867851306348,0.9285106124186583,-0.06950756568094318
resnet18,resolution_moderate,resolution,moderate,corrosion,30,0.7679748822605966,0.032671169957497186,0.8475347187806301,-0.07955983652003351
resnet18,resolution_moderate,resolution,moderate,surface_injure,33,0.8178482680408932,0.07493730614093798,0.8454458330888537,-0.027597565047960515
resnet18,resolution_moderate,resolution,moderate,thunderstrike,9,0.9016884531590413,0.03489560071138218,0.9473684210526315,-0.04567996789359019
resnet18,resolution_moderate,resolution,moderate,crack,14,0.8944444444444445,0.03367876570272818,0.8987764182424917,-0.004331973798047173
resnet18,resolution_moderate,resolution,moderate,hide_craze,49,0.8807053206036101,0.015039586796148018,0.9042505253031567,-0.023545204699546685
resnet18,resolution_severe,resolution,severe,craze,27,0.6426743987719598,0.07478595725625639,0.9285106124186583,-0.28583621364669853
resnet18,resolution_severe,resolution,severe,corrosion,30,0.5867292834419028,0.05929386057130595,0.8475347187806301,-0.26080543533872735
resnet18,resolution_severe,resolution,severe,surface_injure,33,0.7221274750686515,0.037467814967101686,0.8454458330888537,-0.12331835802020219
resnet18,resolution_severe,resolution,severe,thunderstrike,9,0.7622807017543859,0.03332178932144316,0.9473684210526315,-0.18508771929824563
resnet18,resolution_severe,resolution,severe,crack,14,0.8268907563025211,0.02871934032039502,0.8987764182424917,-0.07188566193997059
resnet18,resolution_severe,resolution,severe,hide_craze,49,0.7985156257840131,0.016066271581363527,0.9042505253031567,-0.10573489951914361
resnet18,brightness_mild,brightness,mild,craze,27,0.8902116402116403,0.037107831055834754,0.9285106124186583,-0.038298972207017945
resnet18,brightness_mild,brightness,mild,corrosion,30,0.8472712607013877,0.035265722278538476,0.8475347187806301,-0.00026345807924244014
resnet18,brightness_mild,brightness,mild,surface_injure,33,0.8160869504163566,0.033333770533374045,0.8454458330888537,-0.02935888267249709
resnet18,brightness_mild,brightness,mild,thunderstrike,9,0.9407894736842105,0.06275915798795695,0.9473684210526315,-0.006578947368421018
resnet18,brightness_mild,brightness,mild,crack,14,0.9106172839506171,0.045550034795457585,0.8987764182424917,0.011840865708125481
resnet18,brightness_mild,brightness,mild,hide_craze,49,0.8915828298800673,0.05739834542209221,0.9042505253031567,-0.012667695423089431
resnet18,brightness_moderate,brightness,moderate,craze,27,0.7514701702021817,0.03766846930525878,0.9285106124186583,-0.17704044221647663
resnet18,brightness_moderate,brightness,moderate,corrosion,30,0.7882941855987678,0.04881171842655928,0.8475347187806301,-0.05924053318186229
resnet18,brightness_moderate,brightness,moderate,surface_injure,33,0.7993464052287583,0.03431839370673227,0.8454458330888537,-0.046099427860095354
resnet18,brightness_moderate,brightness,moderate,thunderstrike,9,0.8729847494553377,0.08498323966838826,0.9473684210526315,-0.07438367159729387
resnet18,brightness_moderate,brightness,moderate,crack,14,0.7965811965811967,0.1282393116821269,0.8987764182424917,-0.10219522166129491
resnet18,brightness_moderate,brightness,moderate,hide_craze,49,0.8500182881355127,0.01934934465643223,0.9042505253031567,-0.054232237167644026
resnet18,brightness_severe,brightness,severe,craze,27,0.5268673355629877,0.11269728575976772,0.9285106124186583,-0.4016432768556706
resnet18,brightness_severe,brightness,severe,corrosion,30,0.5537757437070938,0.16490268397433844,0.8475347187806301,-0.2937589750735363
resnet18,brightness_severe,brightness,severe,surface_injure,33,0.6385981839427952,0.023443678633042156,0.8454458330888537,-0.20684764914605847
resnet18,brightness_severe,brightness,severe,thunderstrike,9,0.3761904761904762,0.15670935878004127,0.9473684210526315,-0.5711779448621553
resnet18,brightness_severe,brightness,severe,crack,14,0.3764189886480908,0.1396460154340177,0.8987764182424917,-0.5223574295944009
resnet18,brightness_severe,brightness,severe,hide_craze,49,0.6859675239121881,0.08309622175892924,0.9042505253031567,-0.21828300139096868
resnet18,jpeg_mild,jpeg,mild,craze,27,0.9224928530588908,0.05295502540688187,0.9285106124186583,-0.0060177593597674495
resnet18,jpeg_mild,jpeg,mild,corrosion,30,0.8499734183944709,0.04333581140774062,0.8475347187806301,0.0024386996138408
resnet18,jpeg_mild,jpeg,mild,surface_injure,33,0.8231892485623828,0.04021318772440901,0.8454458330888537,-0.022256584526470835
resnet18,jpeg_mild,jpeg,mild,thunderstrike,9,0.9259259259259259,0.12830005981991682,0.9473684210526315,-0.021442495126705596
resnet18,jpeg_mild,jpeg,mild,crack,14,0.8888147324187369,0.019468909987489492,0.8987764182424917,-0.009961685823754785
resnet18,jpeg_mild,jpeg,mild,hide_craze,49,0.9009044695319206,0.0426560158205923,0.9042505253031567,-0.003346055771236145
resnet18,jpeg_moderate,jpeg,moderate,craze,27,0.8871149814546042,0.05507400563469816,0.9285106124186583,-0.041395630964054075
resnet18,jpeg_moderate,jpeg,moderate,corrosion,30,0.8337168679273942,0.06050709144320263,0.8475347187806301,-0.013817850853235947
resnet18,jpeg_moderate,jpeg,moderate,surface_injure,33,0.8000058869412925,0.015891818190991842,0.8454458330888537,-0.045439946147561194
resnet18,jpeg_moderate,jpeg,moderate,thunderstrike,9,0.9063180827886711,0.11513908724813779,0.9473684210526315,-0.04105033826396043
resnet18,jpeg_moderate,jpeg,moderate,crack,14,0.8707591768631814,0.05056416330034574,0.8987764182424917,-0.028017241379310276
resnet18,jpeg_moderate,jpeg,moderate,hide_craze,49,0.8819964349376114,0.02727447479634249,0.9042505253031567,-0.022254090365545376
resnet18,jpeg_severe,jpeg,severe,craze,27,0.8019603685115807,0.09036541459203612,0.9285106124186583,-0.1265502439070776
resnet18,jpeg_severe,jpeg,severe,corrosion,30,0.8117362371445855,0.02652543896279023,0.8475347187806301,-0.0357984816360446
resnet18,jpeg_severe,jpeg,severe,surface_injure,33,0.7364763259500101,0.006571346112775525,0.8454458330888537,-0.10896950713884357
resnet18,jpeg_severe,jpeg,severe,thunderstrike,9,0.8860939112487101,0.050458717636520295,0.9473684210526315,-0.06127450980392146
resnet18,jpeg_severe,jpeg,severe,crack,14,0.865893365893366,0.07151027264794253,0.8987764182424917,-0.032883052349125697
resnet18,jpeg_severe,jpeg,severe,hide_craze,49,0.8324820573314119,0.011373596655264976,0.9042505253031567,-0.07176846797174485
mobilenet_v3_small,clean,clean,clean,craze,27,0.9146451033243487,0.049798405967838376,0.9146451033243487,0.0
mobilenet_v3_small,clean,clean,clean,corrosion,30,0.7912698412698412,0.027800444266884078,0.7912698412698412,0.0
mobilenet_v3_small,clean,clean,clean,surface_injure,33,0.8498397435897437,0.022735522193871135,0.8498397435897437,0.0
mobilenet_v3_small,clean,clean,clean,thunderstrike,9,0.9649122807017543,0.030386856273138228,0.9649122807017543,0.0
mobilenet_v3_small,clean,clean,clean,crack,14,0.9447534297367445,0.03596397672371421,0.9447534297367445,0.0
mobilenet_v3_small,clean,clean,clean,hide_craze,49,0.9065039349072963,0.031471398539027556,0.9065039349072963,0.0
mobilenet_v3_small,gaussian_blur_mild,gaussian_blur,mild,craze,27,0.8743562610229277,0.045475731345529236,0.9146451033243487,-0.040288842301420935
mobilenet_v3_small,gaussian_blur_mild,gaussian_blur,mild,corrosion,30,0.7952856278627602,0.05070713084987964,0.7912698412698412,0.004015786592919013
