method,seed,condition_id,corruption_family,severity,parameter,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,absolute_drop,retention,retention_percent,relative_loss,relative_loss_percent,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
mobilenet_v3_small,17,brightness_moderate,brightness,moderate,0.5,0.8643891694020306,0.8603747222794841,0.8518518518518519,0.872370423584504,0.8603747222794841,-0.037350909824396816,0.9585790731887631,95.85790731887631,0.04142092681123688,4.142092681123688,14,0.08641975308641975,9,3,135,9,3,15
mobilenet_v3_small,17,brightness_severe,brightness,severe,0.25,0.6848782983506787,0.6409549004787101,0.7160493827160493,0.8174026852120156,0.6409549004787101,-0.2168617808757487,0.7595074391483329,75.95074391483328,0.24049256085166715,24.049256085166714,43,0.2654320987654321,33,5,111,33,5,13
mobilenet_v3_small,17,jpeg_mild,jpeg,mild,75,0.879893321484368,0.8896023729357062,0.8580246913580247,0.8720987654320987,0.8896023729357062,-0.021846757742059353,0.9757726663754361,97.57726663754362,0.024227333624563863,2.4227333624563863,6,0.037037037037037035,5,0,139,5,0,18
mobilenet_v3_small,17,jpeg_moderate,jpeg,moderate,50,0.8694395085689114,0.8801530039625279,0.8518518518518519,0.8655784760228098,0.8801530039625279,-0.032300570657516015,0.9641797327171865,96.41797327171865,0.03582026728281351,3.582026728281351,12,0.07407407407407407,8,2,136,8,2,16
mobilenet_v3_small,17,jpeg_severe,jpeg,severe,25,0.8259679574207891,0.8038606014796491,0.8209876543209876,0.8671775223499362,0.8038606014796491,-0.0757721218056383,0.915971216594209,91.59712165942089,0.08402878340579101,8.4028783405791,23,0.1419753086419753,15,4,129,15,4,14
mobilenet_v3_small,29,clean,clean,clean,original_phase3_png,0.8943066199902563,0.9031047435809341,0.8765432098765432,0.8887518944716017,0.9031047435809341,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,142,0,0,20
mobilenet_v3_small,29,gaussian_blur_mild,gaussian_blur,mild,0.75,0.8545677216278503,0.8673022744451316,0.8395061728395061,0.8482930988685463,0.8673022744451316,-0.03973889836240596,0.9555645709490119,95.55645709490119,0.04443542905098807,4.443542905098807,10,0.06172839506172839,7,1,135,7,1,19
mobilenet_v3_small,29,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8313583123018184,0.8451144094001237,0.8209876543209876,0.8489621489621489,0.8451144094001237,-0.06294830768843784,0.9296121640147048,92.96121640147048,0.07038783598529519,7.038783598529519,21,0.12962962962962962,14,5,128,14,5,15
mobilenet_v3_small,29,gaussian_blur_severe,gaussian_blur,severe,3.0,0.6894344855805302,0.6918905609381799,0.7037037037037037,0.7671957671957671,0.6918905609381799,-0.20487213440972607,0.7709151091692039,77.09151091692038,0.22908489083079608,22.90848908307961,42,0.25925925925925924,33,5,109,33,5,15
mobilenet_v3_small,29,resolution_mild,resolution,mild,168,0.8565805740039832,0.8689514189514189,0.8395061728395061,0.8534340896287321,0.8689514189514189,-0.03772604598627305,0.9578153117253184,95.78153117253184,0.04218468827468158,4.218468827468158,12,0.07407407407407407,8,2,134,8,2,18
